ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3,Atributo 4,Raiting_Promedio 4
MLM2429594520,12,4.4,0,0,1,5,6,cost-benefit,4.3,firmness,4.0,material_quality,4.1,ease_of_assembly,4.444444444444445
MLM2594989722,1,5.0,0,0,0,0,1,,,,,,,,
MLM1964916059,0,0.0,0,0,0,0,0,,,,,,,,
MLM2342465004,2,5.0,0,0,0,0,2,,,,,,,,
MLM2416984524,1,5.0,0,0,0,0,1,,,,,,,,
MLM1933863435,0,0.0,0,0,0,0,0,,,,,,,,
MLM1964916163,2,4.5,0,0,0,1,1,,,,,,,,
MLM2404627536,0,0.0,0,0,0,0,0,,,,,,,,
MLM2581487578,5,4.2,0,1,0,1,3,cost-benefit,5.0,ease_of_assembly,5.0,firmness,4.8,material_quality,4.8
MLM2667868914,0,0.0,0,0,0,0,0,,,,,,,,
MLM1927479721,1,5.0,0,0,0,0,1,,,,,,,,
MLM2580590674,0,0.0,0,0,0,0,0,,,,,,,,
MLM2383374964,2,5.0,0,0,0,0,2,,,,,,,,
MLM1961599389,2,5.0,0,0,0,0,2,cost-benefit,4.0,ease_of_assembly,4.333333333333333,firmness,4.0,material_quality,3.6666666666666665
MLM2173066762,0,0.0,0,0,0,0,0,,,,,,,,
MLM911509723,21,4.9,0,0,0,2,19,cost-benefit,4.857142857142857,firmness,4.809523809523809,material_quality,4.904761904761905,ease_of_assembly,4.368421052631579
MLM895867489,83,4.8,1,0,0,11,71,cost-benefit,4.7101449275362315,material_quality,4.573529411764706,ease_of_assembly,4.626865671641791,firmness,4.731343283582089
MLM1927408729,1,5.0,0,0,0,0,1,,,,,,,,
MLM2387994554,0,0.0,0,0,0,0,0,,,,,,,,
MLM2417030674,1,5.0,0,0,0,0,1,,,,,,,,
MLM924015086,42,4.8,0,0,1,8,33,cost-benefit,4.612244897959184,firmness,4.530612244897959,ease_of_assembly,4.479166666666667,material_quality,4.604166666666667
MLM1958944981,0,0.0,0,0,0,0,0,,,,,,,,
MLM1479786788,20,4.6,0,1,1,4,14,cost-benefit,4.6923076923076925,ease_of_assembly,4.0,firmness,4.461538461538462,material_quality,4.538461538461538
MLM2383360934,0,0.0,0,0,0,0,0,,,,,,,,
MLM1448686265,0,0.0,0,0,0,0,0,,,,,,,,
MLM2548378050,2,4.0,0,0,1,0,1,cost-benefit,4.666666666666667,ease_of_assembly,2.6666666666666665,firmness,4.333333333333333,material_quality,4.0
MLM2472268852,0,0.0,0,0,0,0,0,,,,,,,,
MLM1933898073,1,5.0,0,0,0,0,1,,,,,,,,
MLM1781848378,6,3.8,1,1,0,0,4,cost-benefit,3.4,material_quality,3.4,ease_of_assembly,4.25,firmness,3.75
MLM2356568036,1,5.0,0,0,0,0,1,,,,,,,,
MLM1927433133,0,0.0,0,0,0,0,0,,,,,,,,
MLM1925192485,0,0.0,0,0,0,0,0,,,,,,,,
MLM2416984202,1,5.0,0,0,0,0,1,,,,,,,,
MLM1933885771,1,5.0,0,0,0,0,1,,,,,,,,
MLM1467956751,35,4.8,0,0,1,4,30,cost-benefit,4.6875,material_quality,4.53125,firmness,4.580645161290323,ease_of_assembly,4.75
MLM2427331858,0,0.0,0,0,0,0,0,,,,,,,,
MLM2405352720,0,0.0,0,0,0,0,0,,,,,,,,
MLM2358085498,2,5.0,0,0,0,0,2,,,,,,,,
MLM1961086939,0,0.0,0,0,0,0,0,,,,,,,,
MLM724412181,14,4.9,0,0,0,2,12,cost-benefit,4.777777777777778,ease_of_assembly,4.888888888888889,firmness,4.555555555555555,material_quality,4.777777777777778
MLM1927459019,1,5.0,0,0,0,0,1,,,,,,,,
MLM1925194185,0,0.0,0,0,0,0,0,,,,,,,,
MLM1933899963,0,0.0,0,0,0,0,0,,,,,,,,
MLM653157016,16,4.8,0,0,0,4,12,cost-benefit,4.6923076923076925,firmness,4.5,material_quality,4.5,ease_of_assembly,4.545454545454546
MLM1926570503,0,0.0,0,0,0,0,0,,,,,,,,
MLM2417032226,0,0.0,0,0,0,0,0,,,,,,,,
MLM932734206,15,4.6,0,1,0,3,11,cost-benefit,4.7272727272727275,ease_of_assembly,3.6363636363636362,firmness,4.181818181818182,material_quality,4.363636363636363
MLM785087541,18,4.1,2,1,2,2,11,cost-benefit,4.181818181818182,ease_of_assembly,4.0,firmness,3.8181818181818183,material_quality,4.090909090909091
MLM1933887265,0,0.0,0,0,0,0,0,,,,,,,,
MLM2611887488,1,5.0,0,0,0,0,1,,,,,,,,
MLM2611887488,1,5.0,0,0,0,0,1,,,,,,,,
