ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3,Atributo 4,Raiting_Promedio 4,Atributo 5,Raiting_Promedio 5
MLM2761117314,5,4.8,0,0,0,1,4,cost-benefit,4.75,material_quality,4.75,quality_finishes,4.75,slight,4.75,storage_capacity,4.5
MLM1938340989,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2427509662,14,4.9,0,0,0,1,13,cost-benefit,5.0,material_quality,5.0,quality_finishes,5.0,slight,4.5,storage_capacity,4.75
MLM771777159,93,4.9,0,0,2,5,86,cost-benefit,5.0,material_quality,5.0,quality_finishes,4.75,slight,5.0,storage_capacity,5.0
MLM1741673095,63,4.9,0,2,0,2,59,cost-benefit,4.428571428571429,material_quality,4.5,quality_finishes,4.5,slight,4.642857142857143,storage_capacity,4.5
MLM732121400,213,4.8,1,0,7,22,183,cost-benefit,5.0,material_quality,4.666666666666667,quality_finishes,4.333333333333333,slight,5.0,storage_capacity,4.0
MLM946424788,7,4.3,0,1,1,0,5,,,,,,,,,,
MLM758491423,102,4.8,1,1,2,9,89,cost-benefit,5.0,material_quality,4.75,quality_finishes,5.0,slight,5.0,storage_capacity,5.0
MLM776603889,13,4.9,0,0,0,1,12,,,,,,,,,,
MLM1942992701,5,5.0,0,0,0,0,5,,,,,,,,,,
MLM1932380921,13,4.9,0,0,0,1,12,cost-benefit,4.25,material_quality,5.0,quality_finishes,4.5,slight,4.75,storage_capacity,4.25
MLM773595407,57,4.9,0,0,1,3,53,cost-benefit,4.75,material_quality,4.75,quality_finishes,4.75,slight,5.0,storage_capacity,4.75
MLM775939899,33,4.8,1,0,0,4,28,cost-benefit,3.0,material_quality,4.0,quality_finishes,3.6666666666666665,slight,3.6666666666666665,storage_capacity,3.6666666666666665
MLM740191188,15,4.9,0,0,0,2,13,,,,,,,,,,
MLM751740719,10,4.9,0,0,0,1,9,,,,,,,,,,
MLM2354656042,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM946427759,8,4.9,0,0,0,1,7,,,,,,,,,,
MLM2444523610,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1432145256,32,4.4,0,2,2,8,20,cost-benefit,4.333333333333333,material_quality,4.333333333333333,quality_finishes,4.333333333333333,slight,4.333333333333333,storage_capacity,4.333333333333333
MLM773969272,17,5.0,0,0,0,0,17,,,,,,,,,,
MLM756838850,21,4.0,3,0,2,4,12,,,,,,,,,,
MLM752672582,68,4.7,3,1,1,5,58,,,,,,,,,,
MLM758823332,43,4.6,2,0,2,7,32,cost-benefit,5.0,material_quality,4.333333333333333,quality_finishes,5.0,slight,5.0,storage_capacity,4.666666666666667
MLM1489108789,3,5.0,0,0,0,0,3,,,,,,,,,,
