ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM1985416177,2024-01-17T23:57:32Z,"Las cajas tienen una gran capacidad cierran perfecto, y venían muy bien empaquetadas, para que no se rompieran en el transcurso, las recomiendo muchísimo, las use tanto para guardar ropa y accesorios.",0,5,0,0,2024-01-09T00:20:15Z,32,0,0,,,
MLM1970154395,2023-12-28T22:40:44Z,"Es tal como se muestra en las imágenes, el plástico es grueso y resistente, y los cajones se abren de forma correcta, sin trabarse. Lo recomiendo.",1,5,1,0,2023-11-13T04:12:20Z,26,0,2,,,
MLM1970154395,2024-01-07T16:38:45Z,Me encantó.,0,5,0,0,2023-12-06T02:28:18Z,2,0,0,,,
MLM1970154395,2023-12-18T14:28:45Z,Cumple la función de resguardar cosas pero no serviría para cosas pesadas.,0,4,0,0,2023-11-10T02:19:36Z,12,0,0,,,
MLM1970154395,2023-11-11T17:30:50Z,Es práctico solo que al abrirlo se atora.,0,4,0,0,2023-11-06T17:31:49Z,8,0,0,,,
MLM1808689047,2023-06-28T15:24:22Z,"Los materiales son de buena calidad, es de cartón pero es resistente y tiene protección para que no se rompa y resista peso. Con respecto al peso yo le he puesto cajas de audífonos, y documentos y todo perfecto, se me tiene firme la caja.
Son 4 piezas de cajas organizadoras para cosas personales, papeles importantes, las medidas de las cajas son algo grandes (en la descripción específica). Pero puede caber documentos y cosas personales.
Ideal para atener organizado tus cosas.",17,5,17,0,2023-06-25T14:00:54Z,81,0,4,,,
MLM1808689047,2023-07-22T00:00:39Z,"Me encantaron!!!.
Son demasiado prácticas,.
Yo las pedí especialmente para guardar ropa o calcetines !.
No duden en comprarlas !.
Y el precio súper bueno.",12,5,12,0,2023-07-16T18:23:03Z,23,0,2,,,
MLM1808689047,2023-07-21T00:22:45Z,El color me encantó!! es de grosor un poco delgado pero le caben bastantes cosas y no pierden tanto mucho su forma al tener cosas.,10,5,10,0,2023-07-19T22:21:15Z,25,0,1,,,
MLM1808689047,2023-10-19T01:30:51Z,Practicas. Sencillas pero muy bonitas.,8,4,8,0,2023-10-17T16:36:25Z,5,0,3,,,
MLM1808689047,2023-07-09T02:38:32Z,"Para el precio está muy, son prácticas. Yo las compré para las cosas de mi bebé, las volveré a pedir 9/10.",8,5,8,0,2023-07-05T21:20:24Z,22,0,1,,,
MLM1808689047,2023-06-17T15:40:03Z,"Relación calidad precio, me gustaron ya que son espaciosas y me gusta mucho que venga con su tapa y trae su fieltro para que se pegue al cerrarla, lo tengo en mi negocio para que no se llenen de polvo, son grandes y espaciosas, a las pequeñas igual les cabe varias cosas, traen abajo para que no se deformen y son iguales a la foto y lo que describen, estoy contenta con la compra.
La tela es de buena calidad es suave y prolija, escogí un color neutro que no destacará tanto y combinará con todo.
Caben bien en un armario o ropero y se ve bien incluso se ve bien en repisas ya que parecen cajones, es buena opción ya que tare su tapa cubre polvo ponerlo dónde uno quiera y se vea bien.",5,5,5,0,2023-06-13T17:56:37Z,135,20,4,,,
MLM1808689047,2023-06-17T13:54:43Z,"Me agrada la caja, pues permite guardsr nuestras cosas en ella, me agrada que por el tamaño se puede acomodar en todos lados, además que gracias a su uso se puede acomodar en todos lados m, me agrada que por el tamaño se puede usar para todas nuestras cosas, ropa y todo ello.",3,5,3,0,2023-06-14T15:44:22Z,53,0,1,,,
MLM1808689047,2023-11-03T04:53:02Z,"Gran capacidad, y bonitos 100% recomendados.",2,5,3,1,2023-10-30T21:08:32Z,6,0,2,,,
MLM1808689047,2023-08-24T01:28:18Z,"Son de buen tamaño igual a la imagen son algo frajiles pero muy fáciles de armar.
Ideal para cosas pequeñas.",2,4,2,0,2023-08-23T04:03:33Z,20,0,4,,,
MLM1808689047,2023-09-26T05:37:50Z,"El diseño y color son bastantes buenos, muy fácil de guardar y tienen bastante capacidad para el guardado de ""cosas"" inclusive ropa. A un precio muy accesible, la calidad de los materiales es muy buena.",1,5,1,0,2023-09-18T18:45:54Z,35,0,4,,,
MLM1808689047,2023-09-25T14:38:21Z,"Me gustó bastante, estas cajas organizadoras dan una mejor vista en el hogar, anteriormente tenía en un lugar específico varias cosas y ahora organizando las en cajas se ve más estética mi casa, me gustó bastante el color un gris con café, incluyen si velcro de cierre, el armado es sencillo, solo hay que extender las cajas y poner la parte interior para soporten, la calidad es bastante buena, es cartón reforzado con tela gruesa, cosida bastante buena y resistente, las reparto en diferentes áreas de mi casa colocando las pequeñas en repisas con accesorios para el baño, cargadores, etc, se ve mucho mejor que antes. Los tamaños son bastante buenos 2 cajas pequeñas y dos grandes para guardan gran cantidad de cosas.",1,5,1,0,2023-09-18T18:19:31Z,123,0,4,,,
MLM1808689047,2023-09-26T01:15:10Z,"La tela con la que los cestos están echos esta muy gruesa y resistente me son muy funcionales para organizar mi ropa y mis zapatos y se pueden organizar las cajas en muy poco espacio en el closet o debajo de la cama, son muy espaciosas y caben muy las cosas que se desean guardar.",1,5,1,0,2023-09-19T05:35:14Z,55,0,3,,,
MLM1808689047,2023-09-25T01:33:30Z,"Muy buen producto, muy prácticas para organizar. Super faciles de armar. De muy buen tamaño. Tienen buena hechura y de material muy resistente.",1,5,1,0,2023-09-19T16:46:09Z,23,0,3,,,
MLM1808689047,2023-11-18T21:45:33Z,Están muy prácticos los bolveria acomprar.,1,5,1,0,2023-11-17T17:16:29Z,6,0,2,,,
MLM1808689047,2023-10-24T13:28:55Z,"Me encantó el producto, es fácil de armar y se me ven muy bonitos, todo se ve más ordenado.",1,5,1,0,2023-10-07T18:09:17Z,19,0,2,,,
MLM1808689047,2024-01-04T20:44:44Z,"Tienen buen espacio, son muy prácticos y bonitas.",1,5,1,0,2024-01-01T18:40:44Z,8,0,1,,,
MLM1808689047,2023-09-18T15:14:11Z,"Me encantaron, son muy prácticos.",1,5,1,0,2023-09-16T19:15:03Z,5,0,1,,,
MLM1808689047,2023-11-27T16:41:28Z,Son algo delgadas el contacto de las tapas se descose.,1,4,1,0,2023-11-07T21:20:05Z,10,0,0,,,
MLM1808689047,2023-12-08T03:43:21Z,"Me falto el fondo de una 2 cajas y una no quedaba para nada el tamaño.
Pésimo eso.",0,1,0,0,2023-12-06T09:30:06Z,18,0,3,,,
MLM1808689047,2023-10-28T01:07:11Z,De buen tamaño.,0,5,0,0,2023-10-23T21:58:18Z,3,0,2,,,
MLM1808689047,2023-10-01T22:01:36Z,"Las cajas están muy bonitas y se sienten de buena calidad, me gustaron mucho ya que puedo tener en orden las cosas mi bebé😍.",0,5,0,0,2023-09-27T20:39:23Z,24,0,2,,,
MLM1808689047,2023-09-25T17:08:03Z,"Primero el material que están hechos es resistente ya que vienen forrados para no romperse con facilidad, luego el color es muy bonito ya que el gris combina con todo, vienen 4 cajas de dos tamaños distintos ideal para documentos o tener ordenados otras cosas.",0,5,0,0,2023-09-20T03:14:18Z,45,0,2,,,
MLM1808689047,2023-06-28T21:31:59Z,Exelente bien tamaño y el material se ve duradero además se ven super bonitas sirven para guardar cualkier cosa la verdad me encantaron se las recomiendo.,0,5,0,0,2023-06-22T01:32:12Z,26,0,2,,,
MLM1808689047,2023-06-24T20:01:12Z,Los organizadores son muy prácticos pues para usarlos son de varios tamaños y en cada uno puedo dividir cada cosa y para transportarlos simplemente puedo doblarlos y llevarlos sin ningún problema alguno. Su material es de buena calidad y también su diseño es muy compatible para que se noten elegantes. Son muy fácil de armar y gracias a sus tamaños son fácil de acomodar en cualquier lugar. Si se llegan a manchar son fáciles de limpiar. Puedo colocar los pequeños sobre los organizadores grandes y no se ven mal se ven muy bien acomodados.,0,5,0,0,2023-06-21T03:59:28Z,94,0,2,,,
MLM1808689047,2024-01-09T03:39:59Z,Funcionales para tener organizando el closet!.,0,5,0,0,2023-08-11T22:19:41Z,6,0,1,,,
MLM1808689047,2024-01-07T17:03:29Z,"Muy prácticas y cómodas, tamaño adecuado para quitar el ruido visual del cuarto.",0,5,0,0,2024-01-05T01:28:13Z,13,0,1,,,
MLM1808689047,2024-01-05T01:45:47Z,"Definitivamente superaron mis expectativas, son de buen tamaño y buen material.
Sin duda las volvería a comprar.",0,5,0,0,2024-01-02T16:11:37Z,17,0,1,,,
MLM1808689047,2024-01-04T16:20:33Z,"Se ven muy bonitas, el problema con éste tipo de cajas es que se van deformando y no aguantan mucho peso. Para que me duren las refuerzo con cartón más rígido por dentro 😁. Le dan una mejor vista donde las coloque, sin duda pediré más 😊.",0,4,0,0,2024-01-02T19:44:33Z,45,0,1,,,
MLM1808689047,2023-12-29T01:43:25Z,De buena calidad son muy bonitas y prácticas para guardar cosas vienen 2 grandes y dos chicas pero quede sorprendida la calidad es muy buena!.,0,5,0,0,2023-12-27T18:43:43Z,25,0,1,,,
MLM1808689047,2023-12-28T04:40:53Z,Utiles.,0,5,0,0,2023-12-20T19:52:38Z,1,0,1,,,
MLM1808689047,2023-12-16T14:57:39Z,"Me encantaron, muy buen tamaño y el precio super, ojalá lleguen en color rosa para encargar mas.",0,5,0,0,2023-12-14T16:39:25Z,17,70,1,,,
MLM1808689047,2023-12-04T04:38:45Z,,0,5,0,0,2023-11-24T20:09:11Z,0,0,1,,,
MLM1808689047,2023-12-03T03:32:52Z,Mejor de lo que esperaba. Fácil de armar y el color está bonito. Si lo recomiendo relación precio-calidad.,0,5,0,0,2023-11-30T20:40:59Z,19,0,1,,,
MLM1808689047,2023-11-30T18:58:35Z,"Amplias, bonitas, ligeras y económicas.",0,5,0,0,2023-11-21T06:43:50Z,5,0,1,,,
MLM1808689047,2023-11-26T10:28:09Z,"De. Buena calidad, amplias definitivamente las vuelvo a comprar.",0,5,0,0,2023-11-22T17:08:30Z,9,0,1,,,
MLM1808689047,2023-11-23T18:44:28Z,,0,5,0,0,2023-11-21T02:36:59Z,0,0,1,,,
MLM1808689047,2023-11-22T14:22:10Z,"De buena calidad y resistente.
Son de cartón pero si están bien chidas.",0,5,0,0,2023-11-17T22:19:18Z,13,0,1,,,
MLM1808689047,2023-11-22T05:12:32Z,Me encanto este producto sin duda alguna estoy fascinada.,0,5,0,0,2023-11-20T16:59:18Z,9,0,1,,,
MLM1808689047,2023-11-16T15:00:53Z,Me encantan como se ven.,0,5,0,0,2023-10-26T00:31:50Z,5,0,1,,,
MLM1808689047,2023-11-14T21:32:25Z,Un poco endeble pero sirve.,0,4,0,0,2023-11-06T01:20:12Z,5,0,1,,,
MLM1808689047,2023-11-12T22:13:55Z,,0,5,0,0,2023-11-11T17:48:59Z,0,0,1,,,
