ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM776079710,48,4.7,1,2,1,4,40
MLM2010084221,0,0.0,0,0,0,0,0
MLM2648646518,66,4.7,5,0,1,1,59
MLM1711480117,44,4.6,2,0,2,6,34
MLM1852684904,322,4.7,9,4,9,17,283
MLM1863837975,43,3.6,12,2,2,4,23
MLM817840717,13,4.5,0,1,0,3,9
MLM1764447557,8,4.0,2,0,0,0,6
MLM1978513791,0,0.0,0,0,0,0,0
MLM2764211370,6,4.5,0,1,0,0,5
MLM1929571467,0,0.0,0,0,0,0,0
MLM770030839,37,4.3,3,2,2,5,25
MLM2037873848,6,4.0,1,0,0,2,3
MLM2008593952,12,3.3,4,1,1,0,6
MLM1338832147,541,4.6,20,9,31,62,419
MLM1959030755,0,0.0,0,0,0,0,0
MLM624933577,8,4.6,0,0,0,3,5
MLM2784723402,0,0.0,0,0,0,0,0
MLM960434111,5,4.6,0,0,0,2,3
MLM960422076,4,5.0,0,0,0,0,4
MLM2006272263,0,0.0,0,0,0,0,0
MLM2755470166,1,5.0,0,0,0,0,1
MLM1360524527,0,0.0,0,0,0,0,0
MLM677764353,31,5.0,0,0,0,1,30
MLM677720096,18,4.9,0,0,0,2,16
MLM796425387,9,4.4,1,0,0,1,7
MLM1817535804,8,5.0,0,0,0,0,8
MLM2762055330,0,0.0,0,0,0,0,0
MLM2797043722,1,5.0,0,0,0,0,1
MLM1912361223,4,3.8,1,0,0,1,2
MLM1912216077,8,5.0,0,0,0,0,8
MLM2000603759,0,0.0,0,0,0,0,0
MLM800007852,6,4.7,0,0,1,0,5
MLM2571459922,0,0.0,0,0,0,0,0
MLM1993603151,1,5.0,0,0,0,0,1
MLM728052460,17,4.1,2,1,1,2,11
MLM1937831245,2,5.0,0,0,0,0,2
MLM2693370374,1,5.0,0,0,0,0,1
MLM1821719719,13,4.6,1,0,0,1,11
MLM787925896,0,0.0,0,0,0,0,0
MLM1861859903,0,0.0,0,0,0,0,0
MLM710308095,8,5.0,0,0,0,0,8
MLM1864178211,6,4.3,1,0,0,0,5
MLM1969853615,1,5.0,0,0,0,0,1
MLM1458970755,2,5.0,0,0,0,0,2
MLM1633160026,4,3.5,1,0,1,0,2
MLM1909067935,1,5.0,0,0,0,0,1
MLM1631281885,10,3.9,0,1,3,2,4
MLM2781127264,1,5.0,0,0,0,0,1
MLM1821218582,2,5.0,0,0,0,0,2
MLM2097094408,16,4.5,0,0,3,2,11
MLM1881974391,3,5.0,0,0,0,0,3
MLM1885778636,11,3.4,3,1,0,3,4
MLM2242866794,2,5.0,0,0,0,0,2
MLM1823823356,4,3.5,1,0,0,2,1
MLM2437290920,3,5.0,0,0,0,0,3
MLM2005316089,1,5.0,0,0,0,0,1
MLM1733066806,0,0.0,0,0,0,0,0
MLM1917952115,1,5.0,0,0,0,0,1
MLM1831554958,0,0.0,0,0,0,0,0
MLM2785703604,0,0.0,0,0,0,0,0
MLM1521474443,27,4.4,2,0,2,5,18
MLM2006272773,0,0.0,0,0,0,0,0
MLM1855605351,5,2.4,1,1,3,0,0
MLM868653434,0,0.0,0,0,0,0,0
MLM1356133818,111,4.6,4,1,5,10,91
MLM960764789,6,5.0,0,0,0,0,6
MLM1676766777,2,5.0,0,0,0,0,2
MLM2754279238,13,4.2,2,0,1,1,9
MLM846776015,5,4.6,0,0,1,0,4
MLM2785715682,1,5.0,0,0,0,0,1
MLM1786525200,5,4.2,0,0,2,0,3
MLM783543259,0,0.0,0,0,0,0,0
MLM1817996510,0,0.0,0,0,0,0,0
MLM1820629245,4,4.5,0,0,1,0,3
MLM2764186626,0,0.0,0,0,0,0,0
MLM1912320095,0,0.0,0,0,0,0,0
MLM2731803236,1,5.0,0,0,0,0,1
MLM2243427236,1,5.0,0,0,0,0,1
MLM1741657663,0,0.0,0,0,0,0,0
MLM1782208441,1,5.0,0,0,0,0,1
