ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5
MLM1481390999,51,4.8,0,0,3,4,44
MLM1794898047,30,4.9,0,0,1,1,28
MLM1959263290,15,4.6,1,0,0,2,12
MLM1789568121,30,4.6,2,0,1,1,26
MLM1375977251,30,4.9,0,0,0,2,28
MLM1491455316,51,4.8,0,1,3,3,44
MLM1481319997,26,4.5,1,2,0,3,20
MLM1381926453,21,4.7,0,0,2,3,16
MLM2334721690,6,5.0,0,0,0,0,6
MLM1481404116,21,4.8,0,1,0,1,19
MLM1876998995,30,4.9,0,0,1,0,29
MLM1481404201,68,5.0,0,0,0,3,65
MLM1382243010,29,5.0,0,0,0,1,28
MLM2216508744,3,5.0,0,0,0,0,3
MLM1362379170,19,4.6,0,1,1,2,15
MLM1384934170,38,4.7,0,1,2,4,31
MLM1822165394,4,5.0,0,0,0,0,4
MLM2254526798,7,4.7,0,0,1,0,6
MLM881807595,154,4.8,1,0,3,17,133
MLM1809020786,1,5.0,0,0,0,0,1
MLM1362392211,74,4.8,0,2,1,6,65
MLM1713526957,4,5.0,0,0,0,0,4
MLM1663556502,10,4.6,0,0,0,4,6
MLM910347877,5,5.0,0,0,0,0,5
MLM2594424844,0,0.0,0,0,0,0,0
MLM779179275,1,5.0,0,0,0,0,1
MLM830596930,2,4.5,0,0,0,1,1
MLM1465648758,1,4.0,0,0,0,1,0
MLM1973605631,1,5.0,0,0,0,0,1
MLM1663350620,2,5.0,0,0,0,0,2
MLM1997041683,1,5.0,0,0,0,0,1
MLM1662225940,1,5.0,0,0,0,0,1
MLM1975080167,1,5.0,0,0,0,0,1
MLM1760459087,2,4.0,0,0,0,2,0
MLM1886709628,2,5.0,0,0,0,0,2
MLM1937245081,1,5.0,0,0,0,0,1
MLM1931631159,0,0.0,0,0,0,0,0
MLM830593531,1,5.0,0,0,0,0,1
MLM1760389680,3,5.0,0,0,0,0,3
MLM1553353482,16,4.9,0,0,1,0,15
MLM1663065597,0,0.0,0,0,0,0,0
MLM830597043,5,4.8,0,0,0,1,4
MLM1837272535,0,0.0,0,0,0,0,0
MLM1991154056,1,5.0,0,0,0,0,1
MLM1890065469,0,0.0,0,0,0,0,0
MLM1958402111,1,5.0,0,0,0,0,1
MLM2583644698,1,5.0,0,0,0,0,1
MLM2553619574,0,0.0,0,0,0,0,0
MLM2203186550,1,5.0,0,0,0,0,1
MLM1938866677,0,0.0,0,0,0,0,0
MLM1481390950,20,4.6,1,0,0,5,14
MLM2314436750,1,5.0,0,0,0,0,1
MLM1838831212,8,4.9,0,0,0,1,7
MLM2016022488,2,5.0,0,0,0,0,2
MLM1480747346,28,4.8,0,1,0,2,25
MLM1325347967,47,4.7,3,0,1,2,41
MLM2262208674,0,0.0,0,0,0,0,0
MLM1953625345,0,0.0,0,0,0,0,0
MLM1617555433,0,0.0,0,0,0,0,0
MLM611841166,3,5.0,0,0,0,0,3
MLM1930405091,0,0.0,0,0,0,0,0
MLM641460736,0,0.0,0,0,0,0,0
MLM2581688132,0,0.0,0,0,0,0,0
MLM653564659,0,0.0,0,0,0,0,0
MLM2698021728,0,0.0,0,0,0,0,0
MLM1431809234,14,4.9,0,0,0,1,13
MLM2553605834,1,5.0,0,0,0,0,1
MLM2553619366,0,0.0,0,0,0,0,0
MLM653563606,0,0.0,0,0,0,0,0
MLM744337387,3,5.0,0,0,0,0,3
MLM2712986130,0,0.0,0,0,0,0,0
MLM2408390934,1,5.0,0,0,0,0,1
MLM1958335715,0,0.0,0,0,0,0,0
MLM1454829944,0,0.0,0,0,0,0,0
MLM2586859806,0,0.0,0,0,0,0,0
MLM1397744079,0,0.0,0,0,0,0,0
MLM1760378786,1,5.0,0,0,0,0,1
MLM793512320,0,0.0,0,0,0,0,0
MLM2586834158,0,0.0,0,0,0,0,0
MLM2202904660,0,0.0,0,0,0,0,0
MLM829738989,2,5.0,0,0,0,0,2
MLM1338829983,0,0.0,0,0,0,0,0
MLM817210800,0,0.0,0,0,0,0,0
MLM1404960557,0,0.0,0,0,0,0,0
MLM1338791123,0,0.0,0,0,0,0,0
MLM1973579437,0,0.0,0,0,0,0,0
MLM2440439524,0,0.0,0,0,0,0,0
MLM1902491095,0,0.0,0,0,0,0,0
MLM812311203,0,0.0,0,0,0,0,0
MLM1397725464,0,0.0,0,0,0,0,0
MLM800725722,0,0.0,0,0,0,0,0
MLM2590234418,0,0.0,0,0,0,0,0
MLM2044636800,0,0.0,0,0,0,0,0
MLM1663311093,0,0.0,0,0,0,0,0
MLM1769012337,0,0.0,0,0,0,0,0
MLM2590572672,0,0.0,0,0,0,0,0
MLM2262186596,0,0.0,0,0,0,0,0
MLM1501928831,0,0.0,0,0,0,0,0
MLM2627025876,0,0.0,0,0,0,0,0
MLM1501885028,0,0.0,0,0,0,0,0
MLM1904807563,0,0.0,0,0,0,0,0
MLM1930356615,0,0.0,0,0,0,0,0
