ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3
MLM1913773311,5,4.8,0,0,0,1,4,cost-benefit,4.666666666666667,duration,4.666666666666667,material_quality,4.666666666666667
MLM1934431597,3,5.0,0,0,0,0,3,,,,,,
MLM2416372878,3,5.0,0,0,0,0,3,,,,,,
MLM1933752993,2,5.0,0,0,0,0,2,,,,,,
MLM1940229939,1,5.0,0,0,0,0,1,,,,,,
MLM1658203332,1,5.0,0,0,0,0,1,,,,,,
MLM2308611202,2,5.0,0,0,0,0,2,,,,,,
MLM2416360074,0,0.0,0,0,0,0,0,,,,,,
MLM2611014160,0,0.0,0,0,0,0,0,,,,,,
MLM1321828294,3,5.0,0,0,0,0,3,,,,,,
MLM2360038464,0,0.0,0,0,0,0,0,,,,,,
MLM1964618795,0,0.0,0,0,0,0,0,,,,,,
MLM1570238216,3,5.0,0,0,0,0,3,,,,,,
MLM2767184362,0,0.0,0,0,0,0,0,,,,,,
MLM1854592241,1,5.0,0,0,0,0,1,,,,,,
MLM1964659251,0,0.0,0,0,0,0,0,,,,,,
MLM2581062310,0,0.0,0,0,0,0,0,,,,,,
MLM1964696913,0,0.0,0,0,0,0,0,,,,,,
MLM2611038994,0,0.0,0,0,0,0,0,,,,,,
MLM2246763768,0,0.0,0,0,0,0,0,,,,,,
MLM1323611012,0,0.0,0,0,0,0,0,,,,,,
MLM1340960644,2,5.0,0,0,0,0,2,,,,,,
MLM739937519,1,5.0,0,0,0,0,1,,,,,,
MLM1451207549,1,5.0,0,0,0,0,1,,,,,,
MLM1942279369,0,0.0,0,0,0,0,0,,,,,,
MLM961418146,0,0.0,0,0,0,0,0,,,,,,
MLM2636290746,0,0.0,0,0,0,0,0,,,,,,
MLM1975636099,0,0.0,0,0,0,0,0,,,,,,
MLM2580152886,0,0.0,0,0,0,0,0,,,,,,
MLM1975394841,0,0.0,0,0,0,0,0,,,,,,
MLM1878668384,0,0.0,0,0,0,0,0,,,,,,
MLM1427436472,0,0.0,0,0,0,0,0,,,,,,
MLM2522690328,0,0.0,0,0,0,0,0,,,,,,
MLM2774266350,0,0.0,0,0,0,0,0,,,,,,
MLM739549140,0,0.0,0,0,0,0,0,,,,,,
MLM2335395770,0,0.0,0,0,0,0,0,,,,,,
MLM961415177,0,0.0,0,0,0,0,0,,,,,,
MLM1600408049,0,0.0,0,0,0,0,0,,,,,,
MLM2082787390,1,5.0,0,0,0,0,1,,,,,,
MLM1989970815,0,0.0,0,0,0,0,0,,,,,,
MLM756423444,0,0.0,0,0,0,0,0,,,,,,
MLM2776308496,0,0.0,0,0,0,0,0,,,,,,
MLM2082778662,0,0.0,0,0,0,0,0,,,,,,
MLM2705246086,0,0.0,0,0,0,0,0,,,,,,
MLM2607934732,0,0.0,0,0,0,0,0,,,,,,
MLM1980476835,0,0.0,0,0,0,0,0,,,,,,
MLM2705331542,0,0.0,0,0,0,0,0,,,,,,
MLM2705370372,0,0.0,0,0,0,0,0,,,,,,
MLM806352132,4,4.8,0,0,0,1,3,,,,,,
MLM1321499439,4,5.0,0,0,0,0,4,,,,,,
MLM1430765885,0,0.0,0,0,0,0,0,,,,,,
MLM744460337,2,4.5,0,0,0,1,1,,,,,,
MLM1441477692,31,4.9,0,1,0,1,29,,,,,,
MLM844337448,0,0.0,0,0,0,0,0,,,,,,
MLM842508226,3,5.0,0,0,0,0,3,,,,,,
MLM817585688,0,0.0,0,0,0,0,0,,,,,,
MLM1459552313,1,5.0,0,0,0,0,1,,,,,,
MLM2718984170,0,0.0,0,0,0,0,0,,,,,,
MLM1865368532,0,0.0,0,0,0,0,0,,,,,,
MLM1941739241,0,0.0,0,0,0,0,0,,,,,,
MLM1375645122,0,0.0,0,0,0,0,0,,,,,,
MLM1398369607,0,0.0,0,0,0,0,0,,,,,,
MLM1980549757,0,0.0,0,0,0,0,0,,,,,,
MLM1980572609,0,0.0,0,0,0,0,0,,,,,,
MLM1878516770,0,0.0,0,0,0,0,0,,,,,,
MLM1878618074,0,0.0,0,0,0,0,0,,,,,,
MLM1878642830,0,0.0,0,0,0,0,0,,,,,,
MLM1878668390,0,0.0,0,0,0,0,0,,,,,,
MLM2542850436,0,0.0,0,0,0,0,0,,,,,,
MLM857956694,0,0.0,0,0,0,0,0,,,,,,
MLM849379068,0,0.0,0,0,0,0,0,,,,,,
MLM1965111781,0,0.0,0,0,0,0,0,,,,,,
MLM1905282067,1,5.0,0,0,0,0,1,,,,,,
MLM1993078949,0,0.0,0,0,0,0,0,,,,,,
MLM963418409,0,0.0,0,0,0,0,0,,,,,,
MLM754192406,5,5.0,0,0,0,0,5,,,,,,
MLM2735184524,0,0.0,0,0,0,0,0,,,,,,
MLM2530465420,0,0.0,0,0,0,0,0,,,,,,
MLM2485235574,0,0.0,0,0,0,0,0,,,,,,
MLM1965665327,1,5.0,0,0,0,0,1,,,,,,
MLM1971491415,0,0.0,0,0,0,0,0,,,,,,
MLM1954018509,1,5.0,0,0,0,0,1,,,,,,
MLM1942517789,0,0.0,0,0,0,0,0,,,,,,
MLM2466883584,1,5.0,0,0,0,0,1,,,,,,
MLM1877753447,16,4.9,0,0,0,2,14,,,,,,
MLM1486221604,0,0.0,0,0,0,0,0,,,,,,
MLM1948236881,1,5.0,0,0,0,0,1,,,,,,
MLM2272445452,1,5.0,0,0,0,0,1,,,,,,
MLM1956438235,0,0.0,0,0,0,0,0,,,,,,
MLM2709556926,0,0.0,0,0,0,0,0,,,,,,
MLM1955726401,0,0.0,0,0,0,0,0,,,,,,
MLM1925680067,0,0.0,0,0,0,0,0,,,,,,
MLM2703411428,0,0.0,0,0,0,0,0,,,,,,
MLM2404880358,0,0.0,0,0,0,0,0,,,,,,
MLM1897905417,0,0.0,0,0,0,0,0,,,,,,
MLM2355572462,1,5.0,0,0,0,0,1,,,,,,
MLM2567540254,0,0.0,0,0,0,0,0,,,,,,
MLM2551589920,1,5.0,0,0,0,0,1,,,,,,
MLM1937262353,0,0.0,0,0,0,0,0,,,,,,
MLM2414230164,0,0.0,0,0,0,0,0,,,,,,
MLM2305977572,1,4.0,0,0,0,1,0,,,,,,
MLM1967365823,0,0.0,0,0,0,0,0,,,,,,
MLM1983668885,0,0.0,0,0,0,0,0,,,,,,
MLM2308386390,0,0.0,0,0,0,0,0,,,,,,
MLM2308458648,0,0.0,0,0,0,0,0,,,,,,
MLM840651317,0,0.0,0,0,0,0,0,,,,,,
MLM1939142355,0,0.0,0,0,0,0,0,,,,,,
MLM1955181317,0,0.0,0,0,0,0,0,,,,,,
MLM1970132389,1,5.0,0,0,0,0,1,,,,,,
MLM1973475349,0,0.0,0,0,0,0,0,,,,,,
MLM1976678053,0,0.0,0,0,0,0,0,,,,,,
MLM2244498956,0,0.0,0,0,0,0,0,,,,,,
MLM2655652086,0,0.0,0,0,0,0,0,,,,,,
MLM1892660600,0,0.0,0,0,0,0,0,,,,,,
MLM2766530256,0,0.0,0,0,0,0,0,,,,,,
MLM2695170636,0,0.0,0,0,0,0,0,,,,,,
MLM2530832336,0,0.0,0,0,0,0,0,,,,,,
MLM1946657739,0,0.0,0,0,0,0,0,,,,,,
MLM1888788653,0,0.0,0,0,0,0,0,,,,,,
MLM1981481919,0,0.0,0,0,0,0,0,,,,,,
MLM2708238286,0,0.0,0,0,0,0,0,,,,,,
MLM1952704533,0,0.0,0,0,0,0,0,,,,,,
MLM2420040478,0,0.0,0,0,0,0,0,,,,,,
MLM1935101543,1,5.0,0,0,0,0,1,,,,,,
MLM1931775691,1,5.0,0,0,0,0,1,,,,,,
MLM1950240999,0,0.0,0,0,0,0,0,,,,,,
MLM1892669388,0,0.0,0,0,0,0,0,,,,,,
MLM1504047332,0,0.0,0,0,0,0,0,,,,,,
MLM1941249365,0,0.0,0,0,0,0,0,,,,,,
MLM1959245293,1,5.0,0,0,0,0,1,,,,,,
MLM2462307954,0,0.0,0,0,0,0,0,,,,,,
MLM1503612479,4,4.8,0,0,0,1,3,,,,,,
MLM1917385757,0,0.0,0,0,0,0,0,,,,,,
MLM1468607329,1,5.0,0,0,0,0,1,,,,,,
MLM2448238590,0,0.0,0,0,0,0,0,,,,,,
MLM1807401516,4,5.0,0,0,0,0,4,,,,,,
MLM1960945643,0,0.0,0,0,0,0,0,,,,,,
MLM2264477968,1,5.0,0,0,0,0,1,,,,,,
MLM2401070606,0,0.0,0,0,0,0,0,,,,,,
MLM1560954476,0,0.0,0,0,0,0,0,,,,,,
MLM1903027296,0,0.0,0,0,0,0,0,,,,,,
MLM1966221657,0,0.0,0,0,0,0,0,,,,,,
MLM1965095781,0,0.0,0,0,0,0,0,,,,,,
MLM2638363108,0,0.0,0,0,0,0,0,,,,,,
MLM1944918316,0,0.0,0,0,0,0,0,,,,,,
MLM2273051100,0,0.0,0,0,0,0,0,,,,,,
MLM2707500158,0,0.0,0,0,0,0,0,,,,,,
MLM1807267090,0,0.0,0,0,0,0,0,,,,,,
MLM1859477007,0,0.0,0,0,0,0,0,,,,,,
MLM1956306793,0,0.0,0,0,0,0,0,,,,,,
MLM1964373179,0,0.0,0,0,0,0,0,,,,,,
MLM1965082519,0,0.0,0,0,0,0,0,,,,,,
MLM1965095223,0,0.0,0,0,0,0,0,,,,,,
MLM1975694921,0,0.0,0,0,0,0,0,,,,,,
MLM1993920117,0,0.0,0,0,0,0,0,,,,,,
MLM2290752756,0,0.0,0,0,0,0,0,,,,,,
MLM1720961031,0,0.0,0,0,0,0,0,,,,,,
MLM1970691451,0,0.0,0,0,0,0,0,,,,,,
MLM1971517469,0,0.0,0,0,0,0,0,,,,,,
MLM1983504867,0,0.0,0,0,0,0,0,,,,,,
