ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM2429594520,2023-11-22T00:03:45Z,Algunos de los barrotes se sumieron y eso que no tiene mucho peso mi hija tuve que poner una tabla para que emparejara el colchon.,2,4,3,1,2023-10-15T23:27:38Z,25,0,1,,,
MLM2429594520,2023-12-10T05:21:32Z,"Muy fácil de armar , bueno al menos deben ser 2 personas.
La estructura no es muy robusta así que no es muy firme, pero si funcional.
Espero que no se afloje tan rápido.",1,5,1,0,2023-11-20T16:04:58Z,33,0,0,,,
MLM2429594520,2024-01-09T06:52:33Z,,0,5,0,0,2023-12-11T04:32:58Z,0,0,2,,,
MLM2429594520,2023-10-11T19:21:35Z,,0,4,0,0,2023-09-06T17:23:37Z,0,0,1,,,
MLM2429594520,2023-10-12T00:54:58Z,Excelente calidad-precio.,0,4,0,0,2023-10-03T00:18:18Z,3,0,0,,,
MLM2342465004,2023-09-30T23:21:50Z,Excelente.,2,5,2,0,2023-09-20T22:30:08Z,1,0,1,,,
MLM1933863435,2023-11-08T21:33:11Z,"La parte de abajo muy bien todo, la cabecera viene chueca, tiene mal la forma, me hubiera gustado que fuera más alta la cabecera y sobretodo que fueran cuidadosos con las medidas, está descuadrada!.",3,4,3,0,2023-08-22T18:53:21Z,34,0,0,,,
MLM1933863435,2023-12-26T04:15:52Z,"El producto se ve exactamente como en las fotos. Bonito, color igual etc.
Pero al momento de armarlo, ocurre q fe un lado no cuadran los espacios para poner maderas. Pedí 2 bases, una queen size y una individual. Y en las dos había el mismo error. Una mitad de la cama quedó toda chueca y las maderas había q meter a fuerza y a martillazos.",1,3,1,0,2023-09-14T23:04:28Z,66,0,4,,,
MLM1927479721,2023-09-24T16:30:33Z,"Excelente producto,dada la relación precio-calidad.
Además de la compra a meses sin intereses.
Lo recomiendo.",0,5,0,0,2023-09-04T20:00:04Z,17,20,0,,,
MLM911509723,2023-05-19T18:56:19Z,"Exelente calidad y facil de armar.
Mis hijas amaron sus literas.",7,5,7,0,2023-04-27T22:57:27Z,11,0,1,,,
MLM911509723,2023-06-23T07:41:06Z,"El armado no es claro ni fácil. La sección de la ventana no venía bien pegada, hay dos tablas que estéticamente se veían despegadas, pero no afecta su función. Incluyeron 10 tablas de soporte para cada colchón, pero son delgadas por lo que no son suficientes para dar buen soporte al colchón. La madera está muy bien lijada.",2,5,2,0,2023-05-29T22:27:01Z,58,0,0,,,
MLM911509723,2023-06-22T02:31:49Z,Muy bonita con buenos detalles en la madera se nota resistente por lo menos más de que si fuese de madera comprimida.,1,5,1,0,2023-05-29T22:03:33Z,22,0,0,,,
MLM911509723,2023-12-19T19:18:09Z,Muy buen producto esta super.,0,5,0,0,2023-11-20T22:01:02Z,5,0,0,,,
MLM911509723,2023-12-02T04:36:17Z,Excelente producto muy buena litera.,0,5,0,0,2022-01-19T04:27:50Z,5,0,0,,,
MLM911509723,2023-10-09T02:14:13Z,"Excelente calidad y buen trato, me encantó.",0,5,0,0,2023-08-30T18:46:23Z,7,0,0,,,
MLM911509723,2023-09-28T00:18:03Z,"Muy bonita, mis hijos quedaron encantados. El precio, calidad todo muy muy bien. La volvería a comprar.",0,5,0,0,2023-01-05T19:27:02Z,17,0,0,,,
MLM911509723,2023-08-09T23:07:14Z,Falta más detallado el armado. Los materiales son de buen calidad. Muy linda la cama igual que en foto.,0,5,0,0,2023-02-21T22:06:42Z,19,0,0,,,
MLM911509723,2023-06-28T19:03:32Z,Muy bien.,0,5,0,0,2022-01-28T23:09:44Z,2,0,0,,,
MLM911509723,2023-06-20T22:48:06Z,El producto es excelente en todos los sentidos diseño calidad materiales!!! todo impecable.,0,5,0,0,2023-03-04T00:23:40Z,13,0,0,,,
MLM911509723,2022-11-10T16:30:29Z,Es de madera resistente pero aún no termino de armarla es algo complicado y si fue elevado el costo de un barandal muy pequeño.,0,4,0,0,2022-10-17T00:55:42Z,24,0,0,,,
MLM911509723,2022-01-20T12:56:43Z,"Faltan instrucciones claras para armarla y se necesitan herramientas para carpintería, armada queda muy bien.",0,4,0,0,2021-12-18T16:55:52Z,15,0,0,,,
MLM911509723,2021-12-11T09:43:40Z,Excelente les encanto a todo mundo y a mis niñas mas super recomendado mucho mejor que en la foto.,0,5,0,0,2021-11-10T23:21:06Z,19,0,0,,,
MLM895867489,2023-01-03T16:11:58Z,Fue una excelente decisión. Fácil de armar y muy firme. La recomiendo.,5,5,7,2,2022-11-21T22:38:31Z,12,0,0,,,
MLM895867489,2022-12-13T04:42:33Z,"La calidad y terminado, puede mejorar!!.",3,5,3,0,2022-11-13T18:18:53Z,6,0,0,,,
MLM895867489,2023-09-30T03:07:00Z,,2,1,2,0,2023-09-10T17:59:13Z,0,0,3,,,
MLM895867489,2023-04-14T22:32:13Z,"Excelente acabo, se arma fácil, así tono de madera natural se ve hermosa.",2,5,2,0,2023-03-22T17:26:41Z,13,0,0,,,
MLM895867489,2022-12-12T21:10:00Z,Excelente calidad precio.,2,5,2,0,2022-11-18T12:56:35Z,3,0,0,,,
MLM895867489,2023-08-31T17:39:20Z,"Excelente producto, yo en lo personal decidí entintarla y barnizarla, todo excelente, me gustó mucho.",1,5,1,0,2023-06-29T18:37:24Z,15,0,4,,,
