ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM1959470263,2023-11-14T03:50:10Z,"Es muy bueno, lo único es que llega con un olor súper fuerte a químicos o posible recubrimiento, tardo 3 días en desaparecer, fuera de eso por el precio es excelente.",0,5,0,0,2023-10-12T03:22:09Z,31,0,0,,,
MLM1960114711,2023-12-19T05:17:28Z,Muy bonita. Se tardó mucho en llegar. Una vez armada si necesita otra mano de pintura y una barnizada.,0,4,0,0,2023-11-20T01:21:55Z,19,0,0,,,
MLM634904188,2020-05-20T14:49:59Z,"Al principio dude sobre la calidad sobre todo al leer los comentarios, pero al ensamblarla me di cuenta q hice una gran compra, la recomiendo ampliamente.",5,5,5,0,2020-05-06T20:00:00Z,26,20,0,,,
MLM634904188,2021-03-30T15:18:08Z,"Todo muy bien, resistente y cómoda.",1,5,1,0,2020-06-21T20:00:00Z,6,0,0,,,
MLM634904188,2020-06-30T15:16:00Z,"El armado es rápido y se mueve un poco pero exelente materias en cuanto a el barandal es algo sencillo pero está bien soldado, la escalera está bien soldada y resistente, en cuanto a los colchones son algo duros pero me gustó mucho, en general exelente inversión.",1,4,1,0,2020-06-21T20:00:00Z,47,0,0,,,
MLM634904188,2019-09-26T15:50:48Z,Muy bien buena calidad y presentación.,1,5,1,0,2019-08-27T20:00:00Z,6,0,0,,,
MLM634904188,2023-10-24T01:17:46Z,"Muy buena inversión, excelente calidad 100% por 100% recomendable.",0,5,0,0,2023-10-17T18:16:05Z,9,0,0,,,
MLM634904188,2023-09-20T13:51:41Z,"Solo encontramos un detalle y ya lo vimosx2 personas y no encontramos como resolverlo. Los orificios del barandal y escalera no coinciden con los de las camas y no pudimos colocarlos. En mi caso no hubo problema pq las literas son para adolescentes, pero si fueran pequeños si se requerirían.",0,5,0,0,2023-08-28T03:08:57Z,50,0,0,,,
MLM634904188,2021-02-04T23:58:02Z,Buen producto y en buen estado.,0,5,0,0,2021-01-08T20:00:00Z,6,0,0,,,
MLM634904188,2020-08-21T09:09:39Z,"Excelente, me gustó muchísimo la litera es bastante resistente, le daría las 5 estrellas pero tengo un problema con uno de los colchones, suena muy feo cada vez que te mueves, suena como si tuviera plásticos adentro, solo por eso no le doy las 5 estrellas, pero todo los demás lo otros colchones y la litera son bastante buenos. :).",0,4,0,0,2020-08-13T20:00:00Z,59,0,0,,,
MLM634904188,2020-06-27T19:14:11Z,Buen producto buena resistencia excelente.,0,5,0,0,2020-05-23T20:00:00Z,5,0,0,,,
MLM634904188,2020-06-17T12:25:30Z,"Excelente producto, construído con materiales de buena calidad,.",0,5,0,0,2020-05-20T20:00:00Z,8,0,0,,,
MLM634904188,2020-05-21T11:07:55Z,Muy buena litera. Solida y aguantadora. Pediré otra igualita.,0,5,0,0,2020-04-05T20:00:00Z,9,0,0,,,
MLM634904188,2020-02-16T21:23:04Z,Está muy endeble. Se mueve mucho. Da la sensación de que se va a romper. Por otro lado es muy ligera y fácil de armar.,0,3,0,0,2020-01-14T20:00:00Z,25,0,0,,,
MLM1597143078,2023-05-14T23:53:57Z,"Excelente producto. Excelentes materiales. El tamaño perfecto, nos encantaron y super baratas. Los colchones bastante aceptables para el precio. Llenaron todas nuestras expectativas. Rápidos también.",1,5,1,0,2023-04-17T20:39:38Z,25,0,0,,,
MLM1597143078,2024-01-07T18:46:21Z,"Creo que el precio es justo por los materiales, no son de exelente calidad pero funciona.",0,4,0,0,2023-08-06T19:37:21Z,16,0,0,,,
MLM802589573,2021-12-18T23:05:43Z,"El metal es muy delgado, lo que le ayuda mucho es las patas de en medió, ya que sin ellas de seguro se doblaría. Pero por las 6 patas queda firme y sin problema.
El otro factor en contra es lo separado que estan los tubos de la base. Si colocas un colchón de resortes, estos quedaran unos en un tubo y los demás quedaran volando y eso hace que se rompan los colchones. Si le pones uno de esponja (viscoelástico) se metería entre los huecos. Si le mandas a poner otros tubos intermedios o de plano un triplay y quedaría de maravilla.",1,3,2,1,2021-11-27T03:12:11Z,103,0,0,,,
MLM802589573,2021-05-30T23:50:28Z,"Material resistente, desde febrero con las bases de cama, compre individual y matrimonial, no se han desoldado y a buen precio! unicamente de las esquinas están con algo de filo y he llegado a rasparme la pierna, hay que tener cuidado.",0,4,1,1,2021-01-22T20:00:00Z,41,0,0,,,
MLM802589573,2023-12-02T06:06:19Z,Está bastante bien sin embargo algunas patas no se aseguran bien ya que no entran con facilidad y no quiero dañar la rosca interna al intentar apretara bien.,0,3,0,0,2022-04-24T22:32:56Z,28,0,0,,,
MLM802589573,2023-06-15T04:33:20Z,Se doblo.,0,1,0,0,2021-10-21T18:53:25Z,2,0,0,,,
MLM802589573,2022-12-09T20:00:10Z,"Bueno, ya que tiene algunas rebabas en las esquinas y eso hace que se pueda romper el colchón o las sábanas. Pero en firmeza super.",0,4,0,0,2022-11-15T16:11:25Z,25,0,0,,,
MLM802589573,2022-04-06T14:25:17Z,Al momento de armala pense que lo habia armado mal ya que las patas quedaron chuecas y las rote aver si quedaban bien pero siguieron estando inclinadas aver cuanto dura la cama. Voy tener que pagar para que las solden mejor ya que estan muy inclinadas las patas de la cama.,0,1,0,0,2022-02-26T19:49:15Z,51,0,0,,,
MLM802589573,2021-11-13T14:59:55Z,Excelente producto muy firme es lo que se solicitó.,0,5,0,0,2021-10-21T01:11:53Z,9,0,0,,,
MLM802589573,2021-08-28T01:22:25Z,Excelente. Muy resistente y a la vez ligera. Es lo que necesitaba.,0,5,0,0,2021-08-05T03:11:10Z,12,0,0,,,
MLM802589573,2021-08-18T15:07:03Z,"Muy buen trabajo, muy resistentes.",0,5,0,0,2021-07-15T22:56:20Z,5,20,0,,,
MLM802589573,2021-04-29T14:51:47Z,"Buen producto, buen precio, muy buena comunicación.",0,4,0,0,2021-04-04T20:00:00Z,7,0,0,,,
MLM802589573,2021-04-05T00:39:20Z,Como las necesitaba! me sirvieron mucho.,0,5,0,0,2021-03-10T20:00:00Z,6,0,0,,,
MLM802589573,2020-12-22T23:20:38Z,Justo lo que buscaba. Sencillo y funcional.,0,5,0,0,2020-11-27T20:00:00Z,7,0,0,,,
MLM955938835,2022-01-06T21:11:56Z,"Excelente, muy bien reforzada, usan madera de primera, 100% recomendable.",1,5,1,0,2021-12-18T15:57:51Z,10,0,0,,,
MLM955938835,2023-08-25T15:32:45Z,Buen producto.,0,5,0,0,2022-04-24T04:09:22Z,2,0,0,,,
MLM629498903,2023-12-06T04:50:28Z,Son muy bonitas.,0,5,0,0,2023-11-19T19:08:15Z,3,0,0,,,
MLM629498903,2020-12-09T13:40:47Z,Están bastante bien y resistentes las camas son duras pero son muy buenas para la espalda.,0,4,0,0,2020-11-13T20:00:00Z,16,0,0,,,
MLM629498903,2020-06-09T10:40:09Z,"Buenos acabados, de buen tamaño bastante practica.",0,4,0,0,2020-05-30T20:00:00Z,7,0,0,,,
MLM629498903,2020-01-05T11:45:39Z,Excelente calidad y material en la estructura de las camas era lo que esperaba.,0,5,0,0,2019-11-24T20:00:00Z,14,0,0,,,
MLM724406851,2023-10-13T21:34:55Z,"Está bien, en relación con el precio, tenía miedo de que los colchones no fueran cómodos pero no fue así. Se puede descansar muy bien,.",1,4,1,0,2023-09-25T17:19:18Z,25,0,0,,,
MLM724406851,2023-11-18T20:11:15Z,"No es de mala calidad pero,espera un material de mejor resistencia.",0,3,0,0,2023-11-06T00:09:58Z,12,0,0,,,
MLM724406851,2023-07-25T00:08:42Z,Muy bien.,0,5,0,0,2023-05-23T12:53:11Z,2,0,0,,,
MLM666447583,2023-07-09T02:43:47Z,Muy bonita y fácil de armar. El único pero es que se tambalea mucho.,4,4,4,0,2023-07-06T15:12:10Z,14,0,0,,,
MLM666447583,2022-12-21T23:07:13Z,Muy buen producto 👍👍👍.,1,5,1,0,2022-11-20T23:07:44Z,3,0,0,,,
MLM666447583,2024-01-10T01:44:05Z,"Está bonito el diseño y con material resistente.
Sin embargo fue sumamente difícil que las piezas engranaran. Me tardé horas y ahun así las piezas no engranan. Tambalea mucho y rechina con el mínimo movimiento. Noe deja dormir los rechinidos.
Me gustaría que checaran esos detalles porque siendo corregidos sería un gran litera.",0,1,0,0,2024-01-02T20:46:17Z,53,0,0,,,
MLM666447583,2021-07-29T12:03:44Z,Muy bien producto lo que te enseña la foto es lo que te llega.,0,5,0,0,2021-06-21T20:00:00Z,14,0,0,,,
MLM1465204610,2023-05-02T18:13:51Z,La verdad muy bien.,0,5,0,0,2023-04-20T01:17:26Z,4,0,0,,,
MLM1943456865,2023-12-16T03:35:01Z,"Quede encantada con la camita de mi nieto, esta muy linda. La recomiendo ampliamente.",0,5,0,0,2023-12-03T16:13:07Z,14,0,0,,,
MLM638647677,2023-08-31T04:39:21Z,"Excelente, de buena calidad, los materiales super resistentes y los colchones de buena calidad, super recomendable.",0,5,0,0,2023-08-25T01:22:31Z,16,0,1,,,
MLM638647677,2023-09-04T04:06:53Z,"Esta bastante bien, fue muy fácil de armar.
Los colchones no son malos ni buenos están bien aún que vinieron un poco sucios.
El modelo súper bien en el color que pedí.
Todo super bien.",0,5,0,0,2023-08-16T19:48:28Z,35,0,0,,,
MLM638647677,2022-07-09T23:14:18Z,Excelente producto lo recomiendo.,0,5,0,0,2022-06-22T20:12:22Z,4,0,0,,,
MLM638647677,2021-02-08T19:34:27Z,Gran producto! viene cuidado y listo para su uso.,0,5,0,0,2020-12-29T20:00:00Z,9,0,0,,,
MLM638647677,2020-11-03T09:18:40Z,"Acabados sencillos y producto básico, pero excelente para su precio.",0,5,0,0,2020-10-08T20:00:00Z,10,0,0,,,
MLM638647677,2020-07-25T17:36:51Z,"Camas de buena calidad muy amplias, solo rechinan un poco, pero ajustando un poco mas se puede solucionar.",0,4,0,0,2020-06-10T20:00:00Z,18,0,0,,,
MLM638647677,2020-07-16T07:02:12Z,"Bien biel aceptable por el presio, era lo que nesesitaba.",0,5,0,0,2020-06-19T20:00:00Z,10,0,0,,,
MLM638647677,2020-01-24T08:35:00Z,"Excelente producto, muy funcional, lo recomiendo ampliamente.",0,5,0,0,2020-01-09T20:00:00Z,7,0,0,,,
MLM1481883146,2023-03-08T16:21:04Z,Todo bien.,0,5,0,0,2023-02-01T15:04:17Z,2,0,0,,,
MLM1394193395,2023-07-05T11:51:40Z,Mi producto me pareció muy bien.,-1,5,0,1,2022-11-24T19:32:37Z,6,0,0,,,
MLM608440361,2020-07-04T00:08:50Z,"Está bien, solo que es muy baja, si vas a usar un colchon de caja o memory foam, contempla que sea muy alto, si no quedas casi en el suelo o puedes optar por cambiarle las patas a la base para hacerla mas alta.",3,4,3,0,2020-05-14T20:00:00Z,44,0,0,,,
MLM608440361,2021-05-04T12:33:27Z,Hola buen día estoy muy contento con la base que compre de verdad que la recomiendo esta muy bien trabajada y terminada el único detalle qué deben cuidar es que es un poco bajita creo que funciona muy bien en colchones altos pero fuera de ahí es muy bonita y elegante además a un exelente precio.,2,5,2,0,2021-04-05T20:00:00Z,56,0,0,,,
MLM608440361,2020-08-28T09:59:46Z,La calidad de la cama ok pero está un poco chaparra.,2,5,2,0,2020-07-16T20:00:00Z,11,0,0,,,
MLM608440361,2020-07-10T19:43:52Z,Excelente. Me gustó mucho y a mi hija también. Se ve de buena calidad. Mil gracias por todo. Compraría de nuevo.,2,5,2,0,2020-06-22T20:00:00Z,21,0,0,,,
MLM608440361,2022-04-04T09:07:47Z,"Buen producto, un poco endeble, pero esta bonito.",1,5,1,0,2022-02-14T19:23:55Z,8,0,0,,,
MLM608440361,2021-07-21T14:25:36Z,Me pareció un excelente producto referente a precio-calidad. Cumple totalmente con lo descrito. Tienes una base elegante y a precio accesible.,1,5,1,0,2021-06-23T20:00:00Z,22,0,0,,,
MLM608440361,2023-02-07T22:32:26Z,Muy bonita la cama y de buenos materiales todo conforme al precio la recomiendo.,0,5,0,0,2022-12-31T14:54:50Z,14,0,0,,,
MLM608440361,2022-07-27T20:26:46Z,Muy buen producto de calidad y a muy buen precio.,0,5,0,0,2022-05-30T15:53:49Z,10,0,0,,,
MLM608440361,2022-07-01T18:19:10Z,"Muy bonita la base, ojo no es alta pero es muy bonita.",0,5,0,0,2022-05-25T21:32:13Z,12,0,0,,,
MLM608440361,2021-10-29T04:15:21Z,Buen diseño pero la calidad es baja.,0,3,0,0,2021-10-02T06:43:54Z,7,0,0,,,
MLM608440361,2021-05-24T19:10:40Z,"Excelente producto, firme de buena calidad. Muy buena inversión.",0,5,0,0,2021-04-06T20:00:00Z,9,0,0,,,
MLM608440361,2021-04-09T17:59:08Z,Excelente muy buena calidad relacion precio.,0,5,0,0,2021-02-12T20:00:00Z,6,0,0,,,
MLM608440361,2020-11-03T11:05:22Z,El producto es bueno acorde a lo que pagas.,0,5,0,0,2020-10-03T20:00:00Z,9,0,0,,,
MLM899293001,2022-03-04T09:22:40Z,"Preciosa la cama, de muy buena calidad la madera. Si hubiera una estrella mas se la daba. Mejor relacion precio-calidad que he encontrado.",15,5,15,0,2022-02-12T18:43:05Z,24,0,0,,,
MLM899293001,2023-07-22T14:24:03Z,"Es una cama muy bonita, y funcional.
Muy fácil de instalar y el costo me parecio solo un poquito elevado pero si la recomiendo.",9,5,10,1,2023-07-06T20:12:42Z,24,0,1,,,
MLM899293001,2022-04-02T20:22:58Z,Bonita solo la pintura blanca que pagué extra estaba muy mal.,7,5,7,0,2022-02-16T17:24:41Z,11,0,0,,,
MLM899293001,2022-03-01T09:23:45Z,Muy buen producto!! precio excelente y perfecta instalación.,2,5,2,0,2022-02-09T00:32:33Z,8,0,0,,,
MLM899293001,2023-11-26T01:58:41Z,Excelente muchas gracias.,1,5,2,1,2023-11-18T04:19:53Z,3,0,2,,,
MLM899293001,2022-03-03T21:55:36Z,"Excelente, muy resistente, y ahorra espacio.",1,5,1,0,2022-02-13T19:19:51Z,6,0,0,,,
MLM899293001,2023-11-01T16:29:33Z,Material de buena calidad y resistente. Totalmente recomendable.,0,5,0,0,2023-10-21T20:34:32Z,8,0,0,,,
MLM899293001,2023-08-10T13:58:33Z,"Cumple con lo que ofrece, realmente la madera es de primera y bastante sólida.
Muy recomendable para ahorrar espacio y aprovechar bien el lugar donde se instala.",0,4,0,0,2023-08-04T04:14:36Z,27,50,0,,,
MLM899293001,2023-04-30T18:29:18Z,Es de excelente calidad! la trajeron muy pronto y la armaron realmente rápido. Me encantó.,0,5,0,0,2023-04-13T03:13:02Z,15,0,0,,,
MLM895878552,2022-03-25T09:39:24Z,Excelente calidad y muy facil de ensamblar.,0,5,0,0,2022-03-03T04:58:19Z,7,0,0,,,
MLM1902781509,2023-11-10T19:52:12Z,"Creo que es un muy buen producto. Sin embargo, recomiendo ver la altura del colchón, en mi caso los barandales apenas y cubren toda la altura del colchón.",0,5,0,0,2023-10-20T22:29:23Z,28,0,0,,,
MLM895864274,2022-07-05T16:51:07Z,"Resistente, luce bonita. Tal vez un poco mas de color obscuro. Relativamente facil de armar.",1,5,1,0,2022-01-30T15:06:20Z,15,0,0,,,
MLM895864274,2022-01-10T17:47:59Z,"El producto es bueno en lo general pero tiene problema con la madera los travesaños de la base eran de madera verde y les sale resina,.",1,4,1,0,2021-11-15T20:56:33Z,26,0,0,,,
MLM895864274,2022-04-08T12:49:15Z,"Me encantó, esta súper fácil de armar. La armé yo sola. El color y la calidad de la madera me parecieron excelentes.",0,5,1,1,2022-03-22T19:55:41Z,22,0,0,,,
MLM895864274,2023-11-04T19:35:57Z,Buen producto por el precio. Es fácil de amarrar y es bastante pesado para que no se mueve.,0,5,0,0,2023-09-28T17:15:24Z,18,0,0,,,
MLM895864274,2023-09-02T14:11:53Z,"Excelente producto , muy fácil de armar , tienen cosas muy bonitas , gracias.",0,5,0,0,2021-09-06T19:08:52Z,11,0,0,,,
MLM895864274,2023-08-22T22:24:45Z,"Excelente calidad, fácil de armar, diseño tal cual como en la foto.",0,5,0,0,2022-06-10T19:14:10Z,12,0,0,,,
MLM895864274,2021-10-21T17:21:10Z,Fscil de armar bonito y barato.,0,5,0,0,2021-09-21T20:33:23Z,6,0,0,,,
MLM1403616434,2023-12-21T01:52:14Z,Esta muy lindo.,0,5,0,0,2022-12-01T00:50:53Z,3,0,0,,,
MLM1403616434,2023-09-11T03:07:37Z,"Es hermosa! me encanto , solo que para poner los barandales no trae los hoyitos, hay que usar taladro.",0,5,0,0,2023-08-26T02:41:41Z,18,0,0,,,
MLM1768172051,2023-08-14T00:59:33Z,"Excelente producto, muy útil para atender a una persona enferma.",0,5,0,0,2023-07-02T00:41:08Z,10,0,0,,,
MLM1768172051,2023-04-16T02:52:25Z,"Confortable, cómodo.",0,5,0,0,2023-03-19T13:21:23Z,2,0,0,,,
MLM1464235025,2023-11-10T03:15:32Z,Exelente.,0,5,0,0,2023-10-16T02:31:48Z,1,0,0,,,
MLM551344571,2017-05-10T12:48:49Z,Es un precio bastante competitivo para el producto.,2,5,2,0,0001-01-01T00:00:00Z,8,0,0,,,
MLM551344571,2020-10-14T21:16:28Z,"Muy funcional, en excelente estado me gustó mucho.",1,4,1,0,2020-09-08T20:00:00Z,8,0,0,,,
MLM551344571,2017-08-28T10:47:36Z,"El producto trae detalles, esta descuadrada, y las bases por igual no estan parejas.",1,3,1,0,0001-01-01T00:00:00Z,14,0,0,,,
MLM551344571,2017-06-24T13:07:24Z,Un poco descuadradas las camas.,1,4,1,0,0001-01-01T00:00:00Z,5,0,0,,,
MLM551344571,2023-07-24T05:16:50Z,"Me parecio muy buen producto la doble matrimonial. Esta muy bien el material, eso si debes tener una persona que te ayude para cargar la estructura, pero es rapido entre dos y envona muy bien, por esa parte no tuve problemas.",0,5,0,0,2023-07-11T16:42:29Z,41,0,0,,,
MLM551344571,2020-10-31T01:24:11Z,"Reduce espacio, es cómoda, muy buena opción.",0,5,0,0,2020-10-09T20:00:00Z,7,0,0,,,
MLM551344571,2017-06-09T08:40:18Z,Excelente relación precio-calidad.,0,5,0,0,0001-01-01T00:00:00Z,4,0,0,,,
MLM551344571,2017-05-27T13:29:06Z,Excelente.,0,5,0,0,0001-01-01T00:00:00Z,1,0,0,,,
MLM551344571,2017-03-06T12:14:15Z,Excelente.,0,5,0,0,0001-01-01T00:00:00Z,1,0,0,,,
MLM1471466424,2023-07-31T16:45:45Z,"Es de plástico resistente, le gustó mucho a mi niño, también me agrado.",0,4,0,0,2023-06-30T23:22:17Z,13,0,0,,,
MLM1471466424,2023-06-28T14:09:06Z,"Buen producto, muy básico en general. El único detalle es que las calcomanias se despegan.",0,3,0,0,2023-05-30T00:03:50Z,15,0,0,,,
MLM1966003145,2024-01-09T01:36:28Z,,0,5,0,0,2023-12-07T16:04:50Z,0,0,1,,,
MLM932823313,2022-07-22T06:46:02Z,"La foto no corresponde, la escalera no es así y no se ensambla esta floja y va por un lado. Siento le falta soporte a la litera se tambalea. Y la canguro debería tener un seguro en las ruedas para dejar de moverse.",2,4,2,0,2022-06-21T14:21:39Z,43,0,0,,,
MLM932823313,2023-06-20T04:18:33Z,"No trae instructivo de armado, es diferente a lo que se ve en la imagen, a la semana se rompieron las llantitas de la cama de hasta abajo, trae unicamente pijas y se movia toda asi es que tuvimos que reforzar con tornillos, muy decepcionante.",1,1,1,0,2022-05-14T04:04:16Z,45,0,0,,,
MLM932823313,2023-07-12T17:49:49Z,"Estoy muy sorprendida, es madera de pino de muy buena calidad, el acabado (aunque no es barnizado) es muy bueno, es bastante firme.
La cama fue para mis sobrinos y la verdad es que fue una excelente elección, todos estamos muy contentos.",0,5,0,0,2023-06-27T03:17:02Z,42,0,0,,,
MLM916753787,2022-07-12T19:46:05Z,"Tiene muy buen diseño y acabado, el punto debil es la escalera, queda dentro de la base de la cama y hay que escalar en el colchón.",4,4,4,0,2022-06-20T00:34:10Z,27,0,0,,,
MLM916753787,2021-10-24T21:15:20Z,"Es exactamente la que se ve en la foto, y los instaladores hacen muy bien su trabajo.",2,5,2,0,2021-10-03T20:17:17Z,17,0,0,,,
MLM916753787,2023-12-23T18:16:11Z,"La instalación fue muy rápida y estoy muy contenta por el diseño, quedo súper bien.",0,5,0,0,2023-12-13T02:06:25Z,15,0,0,,,
MLM916753787,2023-10-03T11:57:38Z,"Me pareció el acabado muy áspero se siente muy feo sólo tiene una capa de pintura y pues comparado con el precio no está tan mal pero si esperaba que lo hubieran pulido,.",0,3,0,0,2023-08-29T02:19:40Z,33,0,0,,,
MLM916753787,2023-08-02T02:54:59Z,Solo tuve problemas con la fletera. Nunca se me indico fecha ni estatus de la guia.,0,5,0,0,2023-02-13T14:51:32Z,16,0,0,,,
MLM916753787,2023-06-17T16:05:22Z,Muy hermosa cama y a mi parecer económica.,0,5,0,0,2023-02-15T19:45:22Z,8,0,0,,,
MLM916753787,2023-04-14T08:45:18Z,Muy rápida instalación.,0,5,0,0,2023-03-22T15:25:32Z,3,0,0,,,
MLM916753787,2023-02-18T00:23:59Z,Muy bonita y practica t sobre tofo por el espacio.,-1,4,0,1,2023-01-15T17:48:36Z,10,0,0,,,
MLM663151611,2021-08-19T10:02:14Z,"Es bonita , pero muy delgada y hueca, muy ligera. Ojalá y me aguante el peso de dos adultos y espero que no se despegue de los soportes y se venga a abajo.",2,3,2,0,2021-07-29T17:13:27Z,32,0,0,,,
MLM663151611,2023-12-20T23:24:26Z,Muy recomendable.,0,5,0,0,2023-06-19T18:29:11Z,2,0,0,,,
MLM663151611,2023-10-14T01:15:39Z,A un mes muy buen producto!!.,0,5,0,0,2023-09-18T14:03:24Z,6,0,0,,,
MLM663151611,2022-06-13T00:13:42Z,"Muy bien producto, de excelente calidad.",0,5,0,0,2022-05-19T21:21:53Z,6,0,0,,,
