ID,Fecha_Creacion,Contenido,Calificacion,Valoracion,likes,dislikes,fecha_compra,Numero de Palabras,Palabras_Prohibidas,Imagenes,Reacciones,atributos,Variación_Atributos
MLM2761117314,2024-01-21T23:51:32Z,"Esta súper bonita. Solo me hubiera gustado que fuera más alta. Ya que sí no van inclinados los sobres de té topan en la tapa.
Supongo que es para que se puedan ver mejor.",0,4,0,0,2024-01-10T23:14:16Z,34,0,0,,,
MLM2761117314,2024-01-14T01:11:25Z,Muy buena compra.,0,5,0,0,2023-12-21T15:09:05Z,3,20,0,,,
MLM2427509662,2024-01-14T22:45:40Z,"Caben muy bien los sobres y si es bastante grande, la recomiendo.",0,5,0,0,2023-11-29T19:06:56Z,12,0,1,,,
MLM2427509662,2023-12-12T18:51:49Z,Me gusto amplia.,0,5,0,0,2023-12-11T16:12:43Z,3,0,1,,,
MLM2427509662,2024-01-17T03:35:54Z,"Es muy estético y muy útil, los espacios son adecuados y logré acomodar adecuadamente varios sobres de té.",0,5,0,0,2023-12-27T01:23:11Z,18,0,0,,,
MLM2427509662,2023-12-19T00:26:00Z,"Muy bonito acabado, yo lo iba a entintar y barnizar, pero me gustó como venía, así lo dejé, lo utilizamos para nuestro negocio.",0,5,0,0,2023-12-01T22:43:57Z,23,0,0,,,
MLM2427509662,2023-12-08T18:29:19Z,"Me emocioné al recibirlo. Muy grande, espacioso y con buena capacidad de almacenaje. Solo que en la tapa la madera está unida y la unión no es prolija. Sin embargo cumple su función.",0,4,0,0,2023-11-25T01:51:39Z,33,50,0,,,
MLM2427509662,2023-10-07T19:37:34Z,Buen producto. Excelente calidad. Es muy funcional.,0,5,0,0,2023-09-29T07:28:13Z,7,0,0,,,
MLM771777159,2020-08-20T14:12:42Z,Aun que ustedes no lo crean me las ingenie y pinte la caja y la utilize en mi baño como una extension de mi botiquin. Quedo padrisima. Super funcional.,3,5,3,0,2020-07-01T20:00:00Z,29,0,0,,,
MLM771777159,2023-12-23T07:36:30Z,"Bueno, sencillo y económico, ideal para regalos.",0,5,0,0,2023-12-20T07:02:50Z,7,0,0,,,
MLM771777159,2023-12-08T02:10:40Z,Buen producto.,0,5,0,0,2023-02-03T06:22:38Z,2,0,0,,,
MLM771777159,2023-10-25T19:55:43Z,"Muy bueno , exactamente lo que quería excelente producto.",0,4,0,0,2023-09-21T23:11:22Z,8,0,0,,,
MLM771777159,2023-10-03T19:41:36Z,"En su interior puse una fina botella möet chandon imperial, cupo muy bien. Fue oportuno poner acompañamientos ad hoc a la fiesta, en los compartimentos: cacahuates planters, papas pringles, chocolates ferrero rocher. Era para el cumpleaños número 50. Los productos lucieron espectaculares con un fondo colorido en esta caja de buen material. La volvería a adquirir. Recomendado.",0,5,0,0,2023-09-03T23:27:02Z,57,0,0,,,
MLM771777159,2023-09-20T22:27:16Z,Lo que esperaba.,0,5,0,0,2023-09-13T19:51:43Z,3,0,0,,,
MLM771777159,2023-07-28T17:33:04Z,Bonita.,0,5,0,0,2023-02-12T10:56:57Z,1,0,0,,,
MLM771777159,2023-07-11T17:47:48Z,"Bastante maciza, y bien hecha.",0,5,0,0,2023-02-03T19:55:26Z,5,0,0,,,
MLM771777159,2023-07-01T23:08:50Z,Muy bonitos y funcionales.,0,5,0,0,2023-06-10T04:27:49Z,4,0,0,,,
MLM771777159,2023-06-27T05:05:13Z,"La caja es resistente y bonita, el detalle es que no mide lo que indica pero me parece que es de buen material.",0,3,0,0,2022-03-18T04:49:35Z,23,0,0,,,
MLM771777159,2023-06-19T02:39:54Z,"Muy buen producto, buen acabado y tamaña o para una botella.",0,5,0,0,2023-01-25T18:38:03Z,11,0,0,,,
MLM771777159,2023-06-10T16:31:16Z,Muy buena calidad.,0,5,0,0,2023-01-13T17:06:28Z,3,0,0,,,
MLM771777159,2023-06-04T08:04:25Z,Es bonita.,0,5,0,0,2023-05-15T07:07:02Z,2,0,0,,,
MLM771777159,2023-04-05T21:25:29Z,"Lo calificaría con 5 estrellas, ya que es un producto execelente, solo que no se para que tipo de taza pueda funcionar porque una taza impreso no cabe dentro de los cuadros. Por lo demás es muy buen producto.",0,4,0,0,2023-03-30T00:26:43Z,39,0,0,,,
MLM771777159,2023-03-11T01:49:20Z,"Excelente producto, lo recomiendo bastante.",0,5,0,0,2022-04-24T21:44:18Z,5,0,0,,,
MLM771777159,2022-12-06T20:57:12Z,"Muy bonito y útil, me hubiera gustado que tuvieran la opción de cajas pintadas.",0,5,0,0,2022-11-17T21:44:30Z,14,0,0,,,
MLM771777159,2022-11-30T00:42:23Z,"Excelente, me funciono perfecto para regalo.",0,5,0,0,2022-10-28T20:05:17Z,6,0,0,,,
MLM771777159,2022-09-24T19:25:40Z,"Super bien terminada, definitivamente si quiero cajas de este material, lo comprare aqui, muy buena calidad.",0,5,0,0,2022-09-09T18:18:33Z,16,0,0,,,
MLM771777159,2022-04-13T20:48:02Z,Miy buena calidad lo recomiendo mucho.,0,5,0,0,2022-04-12T16:48:47Z,6,0,0,,,
MLM771777159,2022-03-03T19:33:27Z,Muy buen producto buena calidad buen precio.,0,5,0,0,2022-02-01T16:51:58Z,7,0,0,,,
MLM771777159,2022-01-29T20:18:55Z,Excelente muy bonita la caja y bien hecha.,0,5,0,0,2022-01-21T17:39:22Z,8,0,0,,,
MLM771777159,2022-01-27T18:56:43Z,"Buen tamaño , justo como se aprecia en la imagen , buena calidad.",0,5,0,0,2021-12-28T17:45:43Z,11,0,0,,,
MLM771777159,2021-12-08T16:45:30Z,"Wow. Me encantaron mis cajas :d.
La calidad del material es muy buena y amé que la parte de la tapa se disimula al estar cerrada completamente. Es prácticamente invisible.",0,5,0,0,2021-12-03T23:32:30Z,30,0,0,,,
MLM771777159,2021-12-02T03:02:25Z,Exelente producto bien elaborado.,0,5,0,0,2021-11-25T19:21:07Z,4,0,0,,,
MLM771777159,2021-10-25T10:43:45Z,"Muy bonita, muy buena calidad, yo la ocupé para un regalo y la pinté y quedó increíble.
Sin duda volvería a comprar.",0,5,0,0,2021-09-22T18:52:16Z,22,0,0,,,
MLM771777159,2021-09-10T21:50:31Z,"Muy bien hechas,buen tamaño, elegantes,bonitas y funcionales para tantas cosas.",0,5,0,0,2021-09-10T08:59:55Z,12,0,0,,,
MLM771777159,2021-08-20T18:39:12Z,"Se ajusto a lo que necesitaba, lo recomiendo para cualquier arreglo que se piense hacer!.",0,5,0,0,2021-08-05T22:39:58Z,15,0,0,,,
MLM771777159,2021-06-30T15:53:00Z,"Muy bueno, lo recomiendo al 100% incluso mejor k en la foto esta muy amplio y lindo.",0,5,0,0,2021-06-28T20:00:00Z,17,0,0,,,
