id,Vendidos,Precio,Calificación promedio,Número de calificaciones,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
KPHVA,500,496.49,4.8,79,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Calidad de las terminaciones,4.8,,,,
FERRRPE,10mil,267.64,4.8,"1,422",,,,,,,,,,
4SDPDD5CPD,100,169,4.8,38,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CBPV3PHS,5mil,298,4.8,683,Relación precio-calidad,4.8,Instalación,4.8,Calidad de los materiales,4.8,Resistencia,4.8,,
FAW1DFB,500,180.88,4.7,49,,,,,,,,,,
BCBE7A1A,1000,135.85,4.4,229,Calidad del ajuste,4.4,Instalación,4.4,Calidad de los materiales,4.4,Practicidad,4.4,Relación precio-calidad,4.4
SAPCPG8,500,139,4.8,54,Calidad de los materiales,4.8,Relación precio-calidad,4.8,Calidad del ajuste,4.8,Instalación,4.8,Practicidad,4.8
P6VGLFRBI,500,189.24,4.8,67,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Calidad de las terminaciones,4.8,,,,
CDNCÁMT,100,339.48,4.7,14,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
FDTAD3PB,100,199.37,3.8,20,,,,,,,,,,
CDBPPVBL,1000,169.29,4.3,291,Relación precio-calidad,4.3,Resistencia,4.3,Instalación,4.3,Calidad de los materiales,4.3,,
PDD5DPCD,50,268.60,0,0,,,,,,,,,,
JD4DPDD5PDDH,100,365.04,4.9,35,Calidad de la imagen,4.9,Relación precio-calidad,4.9,Calidad de las terminaciones,4.9,,,,
RDCDTFSDT5M,500,268.20,4.4,40,Calidad de los materiales,4.4,Relación precio-calidad,4.4,Instalación,4.4,Resistencia,4.4,,
RDGFELL,500,296.24,4.8,75,,,,,,,,,,
2PTSPCASR,100,113.43,4.8,41,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CDLU33L8MDLG2,1000,159.60,4.7,161,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
RDCRAEV,5mil,125.16,4.6,622,Relación precio-calidad,4.6,Facilidad de uso,4.6,Calidad de los materiales,4.6,Duración de la batería,4.6,,
1PWAFDBH,500,131.15,4.5,21,,,,,,,,,,
CLLFNU3BF2,5mil,169.88,4.8,652,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
CD3MLLDPD1P,1000,130.57,4.8,87,,,,,,,,,,
7MD3PCMH,1000,67.22,4.8,276,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Instalación,4.8,,,,
VD2PMVDTLSA,1000,209.16,4.8,92,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Calidad de las terminaciones,4.8,,,,
4SDPDD5PDDH,100,263.25,4.9,47,Relación precio-calidad,4.9,Calidad de las terminaciones,4.9,Calidad de la imagen,4.9,,,,
5RFADH7F,500,164.62,4.7,66,,,,,,,,,,
KDFDVBVAR,100,261.32,4.9,30,Relación precio-calidad,4.9,Calidad de los materiales,4.9,Calidad de las terminaciones,4.9,,,,
CLLBFNU3BF,100,91.80,4.8,25,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
34POADCCC,100,96.36,4.8,12,,,,,,,,,,
4SCDPD5DP,100,198.45,4.8,59,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
