id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
LCLLLLLD2,500,98.49,4.8,26,88.46%;,7.69%;,0%;,0%;,3.85%;,,,,,,,,,,
5VDTDLLERAB,500,206.85,4.5,31,74.19%;,12.9%;,3.23%;,6.45%;,3.23%;,Relación precio-calidad,3.5,Calidad de los materiales,3.5,Calidad de las terminaciones,4,,,,
"9FM,PDDC",1000,418.04,4.7,129,82.17%;,10.85%;,2.33%;,1.55%;,3.1%;,Relación precio-calidad,4.4,Calidad de las terminaciones,4.4,Calidad de la imagen,4.4,,,,
SLSE2L2M2,5mil,176.56,4.6,415,76.39%;,14.7%;,5.3%;,1.2%;,2.41%;,,,,,,,,,,
BCBE1A1AI,100,188.Nuevo  |  +100 vendidos,4.7,27,81.48%;,14.81%;,0%;,0%;,3.7%;,Relación precio-calidad,4.7,Calidad del ajuste,4.7,Instalación,4.8,Calidad de los materiales,4.7,Practicidad,4.8
ASPD2,1000,241.13,4.7,169,82.84%;,11.24%;,3.55%;,1.18%;,1.18%;,,,,,,,,,,
1RAFGDRYPA,100,59.72,4.4,16,68.75%;,12.5%;,12.5%;,0%;,6.25%;,,,,,,,,,,
CDMÁMTD,25,343.17,5.0,7,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
GDCL3L3DH4,500,276.36,4.3,20,75%;,5%;,5%;,5%;,10%;,,,,,,,,,,
CB1CPVD2,5mil,262.88,4.8,670,89.4%;,7.16%;,2.24%;,0.6%;,0.6%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.8,,
AERMCDGB,500,170.33,4.6,82,75.61%;,14.63%;,3.66%;,2.44%;,3.66%;,,,,,,,,,,
2PAH1TPF,10mil,107.67,4.8,726,83.33%;,11.43%;,3.58%;,0.96%;,0.69%;,,,,,,,,,,
7MD3PCMH,1000,69.52,4.8,236,86.02%;,9.75%;,1.69%;,0%;,2.54%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Instalación,4.8,,,,
CDDH,1000,479.20,4.6,120,72.5%;,19.17%;,7.5%;,0%;,0.83%;,Relación precio-calidad,4.2,Calidad de la imagen,4.5,Calidad de las terminaciones,4.3,,,,
GDLEV3FI2,100,390.34,4.4,14,71.43%;,14.29%;,0%;,7.14%;,7.14%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.5,,,,,,
