id,Calificación,Fecha,Reseña,Cantidad de imagenes,Utilidad
5DPSD*EI*,5,06 jul. 2023,"Hermoso y de buena calidad, idéntico a la imagen.",0,0
5DPSD*EI*,5,29 abr. 2023,"Excelente producto ya sea como regalo o para uno mismo. Las piezas son muy pequeñas, así que no sé si es recomendable para niños o jóvenes impacientes. Solo hay que tener cuidado de que no se seque el resistol al dejarlo expuesto. Excelente calidad de las perlitas y del tapete.",0,0
5DPSD*EI*,5,06 mar. 2022,Hermoso muy lindo le gusto a mi hija.,0,0
5DPSD*EI*,5,04 oct. 2021,Excelente igual a la foto. Ideal para que se entretengan los niños.,0,0
5DPSD*EI*,5,02 oct. 2021,Excelente. Mi hija le encantó.,0,0
5DPSD*EI*,4,07 sep. 2023,Está completo pero la verdad el pegamento de la imagen tiene poca calidad se despegan muy rápido las piedritas.,0,0
5DPSD*EI*,4,24 dic. 2022,Buen producto y fácil de usar le encanto a la persona a la que se lo regale.,0,0
5DPSD*EI*,4,20 dic. 2021,Buen producto para los niños entretenidos.,0,0
PMMCDM9I,5,22 sep. 2023,Muy buen producto.,0,0
PMMCDM9I,5,04 sep. 2023,"Yo lo usé para un regalo, de buena calidad.",0,0
CPPNEVGCP,5,06 jul. 2023,Excelente.,1,0
CPPNEVGCP,5,29 jun. 2020,"Excelente producto, motiva a pintar.",0,0
CPPNEVGCP,5,19 jun. 2020,"Excelente pintura, material de buena calidad.",0,0
CPPNEVGCP,5,27 may. 2020,"Padrísimo, tiene su grado de dificultad!.",0,0
CPPNEVGCP,5,19 may. 2020,Me encanta! 100% recomendables.,0,0
CPPNEVGCP,4,24 mar. 2021,"El lienzo es bueno y las pinturas tambien solo pinceles estan demasiados chafas, se les cae el pelito y no se puede pintar muy bien, todo lo demas excelente :).",0,1
CPPNEVGCP,4,04 ago. 2023,"Muy buen producto, solo los números, hay unos que no se aprecian mucho.",0,0
CPPNEVGCP,4,27 jun. 2023,Muy bien buena calidad.,0,0
CPPNEVGCP,4,15 sep. 2020,Es muy buen producto altamente recomendable.,0,0
CPPNEVGCP,3,22 ago. 2023,Cumple con su función.,0,0
CPPNEVGCP,2,12 jul. 2023,Los colores no coinciden con el modelo y no me parecen agradables.,0,0
CPPNEVGCP,1,06 may. 2020,"No hay forma de pintar como está en la imagen, los colores no son los mismos.",0,5
35PNADCCC,5,24 ago. 2023,Excelente producto.,0,0
35PNADCCC,5,23 ago. 2023,Justo lo que necesitaba. Y justo las medidas.,0,0
35PNADCCC,5,11 ago. 2023,Calidad-precio-funcionalidad… excelente.,0,0
MPEL2DM,5,20 ago. 2023,Exelente.,0,0
JDVRLPSL1P,5,02 ago. 2023,Me es muy practico y bonitas.,0,0
JDVRLPSL1P,5,25 jun. 2023,Excelente.,0,0
JDVRLPSL1P,5,04 feb. 2023,Excelentes.,0,0
JDVRLPSL1P,4,31 jul. 2023,"Está bastante bueno, lo único que no me gustó es que el led del centro de carga no indica cuando ya terminó de recargar los dispositivos.",0,0
CBDSSPS,5,13 mar. 2023,"Excelente calidad, vale la pena invertir en ellas porque son de muy buen material, gruesas y suficientemente obscuras para no dejar entrar las luces a la recámara.",1,1
CBDSSPS,5,30 mar. 2023,"Muy bonitas, me gustaron mucho.",0,1
CBDSSPS,5,23 feb. 2023,Están muy bonitas justo lo que esperaba.,0,1
CBDSSPS,5,19 sep. 2023,Realmente no dejan pasar la luz. Altamente recomendado.,0,0
CBDSSPS,5,11 sep. 2023,Me encantó la tela super bien voy a volver a comparar.,0,0
CBDSSPS,4,04 ago. 2023,"Yo compré las rosas y en las fotos de ven más pasteles de lo que realmente son, en realidad son como lilas. Un tono mas morado que rosa. Son pesadas así que ten en consideración la instalación. En general están perfectas solo el tono si sorprende un poco.",0,0
CBDSSPS,3,02 oct. 2023,"La calidad es súper buena, la tela está bonita, casi black out (90%) pero el color es súper diferente. En la foto se veía rosa pastel o palo de rosa y es prácticamente morada:( le pongo 3 estrellas por eso.",1,0
CBDSSPS,2,08 ago. 2023,Pues las pedí negras y son gris obscuro.,0,0
2PMPOE,5,10 ago. 2023,Son linda’s y exactamente lo que esperaba.,2,0
2PMPOE,5,03 oct. 2023,Esta súper bonitas me encanta aún que le rosa es un poco mas opaco.,1,0
2PMPOE,5,02 sep. 2023,"Están muy bonitas, para almacenar y decorar el color blanco es más color amarillo pastel.",1,0
2PMPOE,5,13 jul. 2023,"De buena calidad, facil de armar y ayudan para la organización de de una repisa, lucen lindos.",0,0
2PMPOE,4,01 ago. 2023,"Fácil de armar, solo que si hay que tener cuidado porque se safa fácil.",0,0
2PMPOE,2,11 may. 2023,"Un plástico muy corriente, muy frágil. Su diseño es lindo pero la calidad del plástico es muy baja.",0,0
2PMPOE,1,07 jul. 2023,"Llegarom rotas las dos cajas de una de las esquinas, el plástico es bastante frágil considero que para organizar y guardar no sirve, como decoración tal vez.",0,0
LLESPJPE,5,15 oct. 2021,"Hasta hoy están funcionando bien, los recomiendo.",0,1
LLESPJPE,5,07 ene. 2023,Excelente calidad.,0,0
LLESPJPE,5,02 may. 2022,"Muy buen producto , es lo que esperaba el material es de muy buena calidad.",0,0
LLESPJPE,5,26 abr. 2022,Muy buen producto y recomendable.,0,0
LLESPJPE,5,23 dic. 2021,Perfecros y facil de instalar.,0,0
LLESPJPE,4,23 nov. 2022,Son de buena calidad aunque compré las mismas en home depot y alumbran mejor.,0,0
RDPMDYSCS,5,14 feb. 2023,"La calidad responde al precio pero se ve bien de lejos. Todo es plástico y se nota pero no se ve mal. Sí es silencioso, nada de ruido.",0,3
RDPMDYSCS,5,13 ago. 2023,Me gusto mucho porque es muy silencioso y se ve muy bien.,1,2
RDPMDYSCS,5,29 mar. 2023,Buena relación entre calidad y precio. Buen producto.,0,2
RDPMDYSCS,5,16 feb. 2023,"Muy bonito, excelente compra.",0,2
RDPMDYSCS,5,05 may. 2023,"Esta muy bonito, no hace ruido, me gusta mucho. Si lo recomiendo.",1,1
RDPMDYSCS,4,21 sep. 2023,"Recibes lo que pagas, el producto está bien por su costo, el retraso de tiempo es bastante notorio pero en cuestión de silencio cumple al 100.",0,0
RDPMDYSCS,4,04 sep. 2023,"Está bonito, cumple con su función aunque los materiales son muy sencillos.",0,0
RDPMDYSCS,4,01 sep. 2023,"Buen producto, superó mis expectativas, esperaba que fuera de peor calidad por el costo. Silencioso y funcionando sin problemas a un mes de su instalación.",0,0
RDPMDYSCS,4,01 sep. 2023,"La calidad es normal, pensé que era dorado pero es más rosa gold. Si es silencioso.",0,0
RDPMDYSCS,4,11 ago. 2023,"Muy bien, solo que en las especificaciones y las fotos viene como reloj negro con borde dorado y realmente es negro con el borde rose gold, eso no me gustó pues yo lo quería dorado amarillo.",0,0
RDPMDYSCS,3,04 oct. 2023,"Pedimos el color dorado con fondo negro. El problema es que no tiene nada de dorado. Es un color más parecido al cobre, o si acaso, un oro rosado. Pero nunca dorado.",0,0
RDPMDYSCS,3,01 ago. 2023,"El color no es dorado, sino es un color rosa. Ojalá pudiera específicar y dar las características correctas.",0,0
RDPMDYSCS,1,21 jul. 2023,"Me encantó físicamente era perfecto y elegante. Pero soló funcionó 2 días, pensé que era la pila la cambié por otras, pero ya no funcionó.",0,1
BRDIPR,5,29 jul. 2023,Excelente muy util.,0,0
BRDIPR,4,04 sep. 2023,No trae gel para mantener fría la bolsa más tiempo.,0,0
LLCDLLACLSE,5,09 sep. 2023,💯 recomendado 👌🏼.,1,0
LLCDLLACLSE,5,27 sep. 2023,"Lo volvería a comprar, solo un pequeño detalle, no trae la letra ñ, de ahí todo perfecto.",0,0
LLCDLLACLSE,5,14 sep. 2023,Está increíble.,0,0
LLCDLLACLSE,5,06 sep. 2023,Increíble muy bueno lo recomiendo.,0,0
LLCDLLACLSE,5,30 ago. 2023,Solo no me gusta que se salen las letras muy facil de lo demas todo bien.,0,0
CPTHMMVM,5,24 ago. 2023,Me encantó mi cuadro del exorcista!! de buen tamaño y se sale del esquema de los cuadros convencionales y aburridos.,0,0
